guide	group	tc_id	description
TRD	M — Cart (End User)	TRD-TC-M03	Add item from different seller → choice modal
TRD	M — Cart (End User)	TRD-TC-M04	Replace Cart option
TRD	M — Cart (End User)	TRD-TC-M05	Cannot add own item to cart
TRD	M — Cart (End User)	TRD-TC-M06	Cannot add unavailable / out-of-node item
TRD	M — Cart (End User)	TRD-TC-M07	Duplicate item prevented in same cart
TRD	M — Cart (End User)	TRD-TC-M08	Remove item from cart
TRD	M — Cart (End User)	TRD-TC-M09	Clear cart
TRD	M — Cart (End User)	TRD-TC-M10	Saved carts: max 3, server rejects 4th save, switch cart
TRD	M — Cart (End User)	TRD-TC-M11	Minimum cart value warning + checkout blocked
TRD	M — Cart (End User)	TRD-TC-M12	Max SP available shown per cart item (subscriber)
TRD	M — Cart (End User)	TRD-TC-M13	Realtime: item becomes unavailable while in cart
TRD	M — Cart (End User)	TRD-TC-M14	Favorites add / remove
TRD	M — Cart (End User)	TRD-TC-M15	Favorites screen: availability + empty state
TRD	M — Cart (End User)	TRD-TC-M16	Success toast appears and auto-dismisses on add-to-cart
TRD	M — Cart (End User)	TRD-TC-M17	Cart badge increments in sync with toast
TRD	M — Cart (End User)	TRD-TC-M18	"Toast copy uses ""Trade Basket"" terminology"
TRD	M — Cart (End User)	TRD-TC-M19	Home dashboard Favorites quick-action tile navigates to Favorites
TRD	M — Cart (End User)	TRD-TC-M20	Discover header heart icon navigates to Favorites
TRD	N — Cart (Admin)	TRD-TC-N01	Admin sets minimum cart value → reflects in app
TRD	N — Cart (Admin)	TRD-TC-N02	Admin minimum cart value validation
TRD	N — Cart (Admin)	TRD-TC-N03	Admin updates Minimum Listing Price on Config → Fees tab
TRD	N — Cart (Admin)	TRD-TC-N04	Seller cannot publish single-item listing below threshold
TRD	N — Cart (Admin)	TRD-TC-N05	Bulk: below-threshold items flagged, valid items publish
TRD	N — Cart (Admin)	TRD-TC-N06	Existing listing auto-paused when threshold raised above price
TRD	N — Cart (Admin)	TRD-TC-N07	Seller raises price to meet threshold → listing repurchasable
TRD	N — Cart (Admin)	TRD-TC-N08	Regression: single-item + bundle checkout at/above threshold
TRD	N — Cart (Admin)	TRD-TC-N09	Price adjustment modal displays correct copy and button text (single-item)
TRD	N — Cart (Admin)	TRD-TC-N10	"""Update Price"" dismisses modal and auto-scrolls + auto-focuses price field (single-item)"
TRD	N — Cart (Admin)	TRD-TC-N11	Price adjustment modal in edit listing flow (single-item edit)
TRD	N — Cart (Admin)	TRD-TC-N12	Bulk listing: per-item chip shows dynamic threshold in missing-required warning
TRD	N — Cart (Admin)	TRD-TC-N13	Bulk listing: publish failure shows clear error message for below-threshold items
TRD	N — Cart (Admin)	TRD-TC-N14	Regression: minimum-price validation still blocks publish in single-item and bulk flows
TRD	O — Tax (End User)	TRD-TC-O01	Sales tax shown in checkout/cart breakdown (0 SP)
TRD	O — Tax (End User)	TRD-TC-O02	Tax base stays on full item price as SP entry changes (offer + checkout)
TRD	O — Tax (End User)	TRD-TC-O03	Tax $0 when globally disabled
TRD	O — Tax (End User)	TRD-TC-O04	Tax $0 when node tax disabled
TRD	O — Tax (End User)	TRD-TC-O05	Tax-exempt user sees Tax Free badge
TRD	O — Tax (End User)	TRD-TC-O06	Transaction history shows tax details
TRD	O — Tax (End User)	TRD-TC-O07	Refund shows proportional tax refunded
TRD	O — Tax (End User)	TRD-TC-O08	Tax shown on trade timeline/detail for buyer only
TRD	O-1 — Tax Categories (Admin Config)	TRD-TC-O1	Admin creates a new tax rule for general_tangible_goods
TRD	O-2 — Tax Status Lifecycle	TRD-TC-O2	Single taxable item, no SP — offer is quoted/authorized, not collected
TRD	O-3 — Tax Refund & Reconciliation	TRD-TC-O3	"Buyer wording: ""Payment authorized"" before capture (Awaiting Seller)"
TRD	P — Tax (Admin)	TRD-TC-P01	Node tax rate config (view/edit, validation)
TRD	P — Tax (Admin)	TRD-TC-P02	Bulk tax update across nodes
TRD	P — Tax (Admin)	TRD-TC-P03	Tax rate change history / audit
TRD	P — Tax (Admin)	TRD-TC-P04	Global tax settings toggle + warning banner
TRD	P — Tax (Admin)	TRD-TC-P05	Tax reporting dashboard: summary + date presets
TRD	P — Tax (Admin)	TRD-TC-P06	Jurisdiction breakdown + 7 report types
TRD	P — Tax (Admin)	TRD-TC-P07	CSV export for filing
TRD	P — Tax (Admin)	TRD-TC-P08	Admin changes rate → new transactions use new rate
TRD	Q — Reviews & Ratings	TRD-TC-Q01	Review prompt ([Rate Seller] / [Rate Buyer]) on completion
TRD	Q — Reviews & Ratings	TRD-TC-Q02	Star rating required — submit blocked without rating
TRD	Q — Reviews & Ratings	TRD-TC-Q03	Comment optional, max 500 characters
TRD	Q — Reviews & Ratings	TRD-TC-Q04	Anonymous review hides reviewer identity
TRD	Q — Reviews & Ratings	TRD-TC-Q05	Skip review — no blocking, no re-prompt for same trade
TRD	Q — Reviews & Ratings	TRD-TC-Q06	Mutual review status shown on completed trade detail
TRD	Q — Reviews & Ratings	TRD-TC-Q07	Completed reviews visible on counterparty's profile
TRD	Q — Reviews & Ratings	TRD-TC-Q08	Average rating and total review count on user profile
TRD	Q — Reviews & Ratings	TRD-TC-Q09	Rating breakdown (5 → 1 stars) on profile
TRD	Q — Reviews & Ratings	TRD-TC-Q10	Edit review succeeds within 24h window
TRD	Q — Reviews & Ratings	TRD-TC-Q11	Edit blocked after 24h window
TRD	Q — Reviews & Ratings	TRD-TC-Q12	One review per trade — duplicate submission blocked
TRD	Q — Reviews & Ratings	TRD-TC-Q13	30-day same-counterparty cooldown enforced
TRD	Q — Reviews & Ratings	TRD-TC-Q14	24h post-completion cooldown — review locked
TRD	Q — Reviews & Ratings	TRD-TC-Q15	Flag a review (select reason)
TRD	Q — Reviews & Ratings	TRD-TC-Q16	Auto-hide review after 3+ reports
TRD	Q — Reviews & Ratings	TRD-TC-Q17	Cannot flag own review
TRD	Q — Reviews & Ratings	TRD-TC-Q18	Admin moderation queue — reported reviews with counts
TRD	Q — Reviews & Ratings	TRD-TC-Q19	Admin approves (unhides) a reported review
TRD	Q — Reviews & Ratings	TRD-TC-Q20	Admin deletes a reported review
TRD	R — Refund & Cancellation State Machine	TRD-TC-R01	Buyer cancels pending trade → cancelled, auth voided, SP restored
TRD	R — Refund & Cancellation State Machine	TRD-TC-R02	Seller declines pending offer → cancelled, SP restored
TRD	R — Refund & Cancellation State Machine	TRD-TC-R03	Offer expiry → auto-cancel + competing offers cancelled
TRD	R — Refund & Cancellation State Machine	TRD-TC-R04	Card declined at offer submission → no trade created
TRD	R — Refund & Cancellation State Machine	TRD-TC-R05	Seller cancels in_progress → refund + consequence level
TRD	R — Refund & Cancellation State Machine	TRD-TC-R06	Refund settlement breakdown (cash + proportional tax + fee)
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T01	"SP input appears only on eligible items; ineligible show ""Not eligible"" label"
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T02	Entered SP applies correct amount (wallet + category cap both sufficient)
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T03	"Entered SP applies partial amount with ""Limited by your SP balance"" subtext when wallet insufficient"
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T04	Category cap limits applied points even when wallet covers more
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T05	Clearing SP restores balance for sequential allocation
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T06	"Running ""Points remaining"" counter updates accurately across entries/clears"
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T07	"Order Summary ""Points Applied"" line and cash total correct after multiple SP entries"
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T08	Seller Review Offer shows per-item points breakdown
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T09	"Seller Review Offer shows ""Total Payout"" and ""Buyer's Total Paid"" correctly"
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T10	"""Includes points redemption"" tag on seller's offer list/inbox card"
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T11	Wallet ledger: buyer debited at offer, seller credited + bonus at completion
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T12	No ledger transaction on offer decline
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T13	Regression: single-item (non-bundle) offer flow with SP still works
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-T14	"Regression: bundle CTA, different-seller modal, ""more from this seller"" still functional"
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-R07	SP reversal on refund (reserved/transferred returned)
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-R08	Seller payout withheld / cancelled on refund
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-R09	Admin dispute resolve → Refund (full settlement)
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-R10	Admin dispute resolve → Complete (no refund)
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-R11	Refund / cancellation notifications to both parties
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-R12	Refund idempotency — no double refund
TRD	T — Points Redemption (Bundle Checkout)	TRD-TC-R13	Cancelled / refunded trade status + timeline
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S01	Different-seller modal uses generic copy (no seller name leak)
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S02	"""More from this seller"" icon appears only when 2+ approved listings"
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S03	"""More from this seller"" icon hidden when seller has exactly 1 listing"
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S04	"Tapping icon opens ""More from this seller"" page — no seller identity"
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S05	Add to Cart from filtered seller page populates cart correctly
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S06	"""Matches Your Cart"" indicator on filtered seller page"
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S07	Bundle CTA appears on CartScreen with 2+ same-seller items
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S08	Bundle CTA hidden with single item or empty cart
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S09	Bundle CTA navigates to checkout in bundle mode
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S10	"Bundle checkout shows ""Bundle Offer"" banner"
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S11	Regression: Discover/search grid unchanged (no badges)
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S12	Regression: single-item offer flow unchanged
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S13	Regression: seller identity unlocks only post-acceptance
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S14	More from seller — Item Detail CTA in standalone position (below seller card)
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S15	More from seller — Item Detail CTA hidden at 0 additional listings
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S16	"More from seller — Item Detail CTA does not disrupt ""Matches Your Cart"" badge"
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S17	More from seller — Trade Basket banner shows correct remaining-item count
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S18	More from seller — Trade Basket banner recalculates after adding item from filtered page
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S19	More from seller — Trade Basket banner disappears when all seller's listings are in basket
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S20	More from seller — Trade Basket banner dismissible via X button
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S21	More from seller — Banner and filtered page never reveal seller identity
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S22	Regression: Seller Info card elements unchanged
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S23	Regression: Trade Basket subtotal/total/bundle CTA layout unaffected
TRD	S — Seller Group & Bundle Discovery	TRD-TC-S24	More from seller — Return-to-Cart navigation after adding item from filtered page
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X01	Bottom nav renders identically on Home (Dashboard)
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X02	Bottom nav renders identically on Discover
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X03	Bottom nav renders identically on Trades
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X04	Bottom nav renders identically on Trade Basket
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X05	Bottom nav renders on Item Detail / Cart Checkout / Trade screens
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X06	Bottom nav renders on Profile, Settings, Wallet, Subscriptions
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X07	Cart badge shows item count from multiple entry points
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X08	Cart badge count accuracy — add / remove / clear
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X09	"""Me"" tab removed — Profile still accessible via Home avatar"
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X10	Sell FAB opens action sheet on every screen
TRD	X — Navigation Consistency & Bottom Nav	TRD-TC-X16	Flow Registry (nav) — flow-registry.md entries updated
TRD	U — Top Nav Header Pattern Consistency	TRD-TC-U01	Root/tab screens use pattern 1 (no back button, greeting/avatar/title, bell)
TRD	U — Top Nav Header Pattern Consistency	TRD-TC-U02	Secondary/detail screens use pattern 2 (back button + title + bell)
TRD	U — Top Nav Header Pattern Consistency	TRD-TC-U03	Notification bell behavior + badge accuracy
TRD	U — Top Nav Header Pattern Consistency	TRD-TC-U04	Screens without ScreenLayout still have working headers
TRD	U — Top Nav Header Pattern Consistency	TRD-TC-U05	Checkout/payment screens intentionally hide the bell
TRD	V — Copy Rename Verification	TRD-TC-V01	"""Basket"" (short form) appears in bottom tab bar"
TRD	V — Copy Rename Verification	TRD-TC-V02	"""Trade Basket"" appears as screen title on Cart screen"
TRD	V — Copy Rename Verification	TRD-TC-V03	"Empty state shows ""trade basket"" in copy"
TRD	V — Copy Rename Verification	TRD-TC-V04	"""View Trade Basket"" button on Item Detail screen"
TRD	V — Copy Rename Verification	TRD-TC-V05	"""Add to Trade Basket"" button on More from This Seller screen"
TRD	V — Copy Rename Verification	TRD-TC-V06	"""In Trade Basket"" status on More from This Seller items already in basket"
TRD	V — Copy Rename Verification	TRD-TC-V07	"""Added to Trade Basket"" alert on item add"
TRD	V — Copy Rename Verification	TRD-TC-V08	"""Matches Your Trade Basket"" badge on matching items"
TRD	V — Copy Rename Verification	TRD-TC-V09	"Different-seller modal references ""trade basket"""
TRD	V — Copy Rename Verification	TRD-TC-V10	"Bundle CTA says ""Make one offer"" (no ""Bundle"" visible)"
TRD	V — Copy Rename Verification	TRD-TC-V11	"""Combined Offer"" banner on checkout (no ""Bundle"" visible)"
TRD	V — Copy Rename Verification	TRD-TC-V12	"Bundle Builder screen title shows ""Build Offer"" (no ""Bundle"" visible)"
TRD	V — Copy Rename Verification	TRD-TC-V13	"Favorites ""Added to Trade Basket"" alert copy"
TRD	V — Copy Rename Verification	TRD-TC-V14	Functional behavior unchanged (adding items, submitting offers)
TRD	W — Admin Bundle Trade Views	TRD-TC-W01	"Trades page has ""Single Trades"" and ""Bundle Trades"" tabs"
TRD	W — Admin Bundle Trade Views	TRD-TC-W02	Single Trades tab shows only non-bundle trades
TRD	W — Admin Bundle Trade Views	TRD-TC-W03	Bundle Trades tab groups trades by bundle_id
TRD	W — Admin Bundle Trade Views	TRD-TC-W04	Bundle row shows item count, totals, buyer/seller, statuses
TRD	W — Admin Bundle Trade Views	TRD-TC-W05	Clicking a bundle row navigates to bundle detail page
TRD	W — Admin Bundle Trade Views	TRD-TC-W06	Bundle detail page lists all trades in the bundle
TRD	W — Admin Bundle Trade Views	TRD-TC-W07	Bundle detail page shows monetary breakdown
TRD	W — Admin Bundle Trade Views	TRD-TC-W08	Each trade row links to individual trade detail
TRD	W — Admin Bundle Trade Views	TRD-TC-W09	"Bundle detail page has ""Force Cancel Entire Bundle"" action"
TRD	W — Admin Bundle Trade Views	TRD-TC-W10	Force Cancel succeeds for all trades in the bundle
TRD	W — Admin Bundle Trade Views	TRD-TC-W11	Status filter works in Bundle Trades view
TRD	W — Admin Bundle Trade Views	TRD-TC-W12	Tab toggle resets filters when switching views
TRD	W — Admin Bundle Trade Views	TRD-TC-D06	Pickup window drives the auto-complete deadline (R2 — configurable)
TRD	W — Admin Bundle Trade Views	TRD-TC-N2	Retried offer submission → exactly 1 PaymentIntent / 1 trade / 1 SP reservation / 1 audit row
TRD	Y — Trade List & Timeline	TRD-TC-Y01	Trade List summary filter chips
TRD	Y — Trade List & Timeline	TRD-TC-Y02	Trade List Load More history pagination
TRD	Y — Trade List & Timeline	TRD-TC-Y03	Trade List Message button on rows
TRD	Y — Trade List & Timeline	TRD-TC-Y04	"Trade List ""See all →"" link"
TRD	Y — Trade List & Timeline	TRD-TC-Y05	R15 — Request More Time (requester)
TRD	Y — Trade List & Timeline	TRD-TC-Y06	R15 — counterparty Accept
TRD	Y — Trade List & Timeline	TRD-TC-Y07	R15 — counterparty Decline
TRD	Y — Trade List & Timeline	TRD-TC-Y08	R15 — granted state
TRD	Y — Trade List & Timeline	TRD-TC-Y09	"""What to do next"" card + ""Got it"" toggle"
TRD	Z — Buyer Cancel Request & Escalation	TRD-TC-Z01	Buyer request → seller approves → cancel + refund
TRD	Z — Buyer Cancel Request & Escalation	TRD-TC-Z02	Seller declines → escalate → admin approve-cancel
TRD	Z — Buyer Cancel Request & Escalation	TRD-TC-Z03	Timeout auto-escalates to admin
TRD	Z — Buyer Cancel Request & Escalation	TRD-TC-Z04	Buyer withdraws a pending request
TRD	Z — Buyer Cancel Request & Escalation	TRD-TC-Z05	Bundle: whole-bundle default + per-item option
TRD	Z — Buyer Cancel Request & Escalation	TRD-TC-Z06	Escalation disabled → decline ends the request
TRD	Z — Buyer Cancel Request & Escalation	TRD-TC-Z07	Gating: no request on pending/completed/disputed/duplicate
TRD	Z — Buyer Cancel Request & Escalation	TRD-TC-Z08	Regression: seller instant cancel unchanged
ACC	A — Settings Hub	ACC-TC-A01	Settings screen sections + rows render
ACC	A — Settings Hub	ACC-TC-A02	Sign Out confirmation
ACC	A — Settings Hub	ACC-TC-A03	Test Push Notification (rate limit / quiet hours / queued)
ACC	A — Settings Hub	ACC-TC-A04	Settings → legal & help links navigate
ACC	A — Settings Hub	ACC-TC-A05	"""Manage Payment Methods"" row navigates"
ACC	B — Edit Profile	ACC-TC-B01	Edit profile fields load + save (optimistic)
ACC	B — Edit Profile	ACC-TC-B02	Email change requires re-verification
ACC	B — Edit Profile	ACC-TC-B03	Phone change → OTP verification modal
ACC	B — Edit Profile	ACC-TC-B04	Avatar upload
ACC	B — Edit Profile	ACC-TC-B05	Profile screen stats, badges, reviews, status badge
ACC	B — Edit Profile	ACC-TC-B06	Form validation (phone 10-digit, email format)
ACC	B — Edit Profile	ACC-TC-B07	"""No Changes"" alert"
ACC	B — Edit Profile	ACC-TC-B08	Waitlist prompt (unreachable from Edit Profile — flag)
ACC	B — Edit Profile	ACC-TC-B09	"""Already verified"" phone path"
ACC	B — Edit Profile	ACC-TC-B10	"Locked-field ""cannot be changed"" alerts"
ACC	C — Linked Accounts	ACC-TC-C01	Linked accounts list (email readonly, password, social)
ACC	C — Linked Accounts	ACC-TC-C02	Link a social provider (password re-auth gate)
ACC	C — Linked Accounts	ACC-TC-C03	Unlink provider (confirmation + last-method guard)
ACC	C — Linked Accounts	ACC-TC-C04	Email mismatch on link blocked
ACC	D — Notification Preferences	ACC-TC-D01	Five categories × three channel toggles
ACC	D — Notification Preferences	ACC-TC-D02	Optimistic toggle reverts on failure
ACC	D — Notification Preferences	ACC-TC-D03	Quiet hours toggle + time validation
ACC	D — Notification Preferences	ACC-TC-D04	Empty state → Initialize Settings
ACC	E — Delete Account (COPPA)	ACC-TC-E01	Delete account consequences + password gate
ACC	E — Delete Account (COPPA)	ACC-TC-E02	Wrong password blocked
ACC	E — Delete Account (COPPA)	ACC-TC-E03	Two-step confirmation → deletion + logout
ACC	F — Suspended / Unsubscribe / Offline	ACC-TC-F01	Suspended account screen (Contact Support + Log Out, no email)
ACC	F — Suspended / Unsubscribe / Offline	ACC-TC-F02	Unsubscribe via deep-link token (success/error)
ACC	F — Suspended / Unsubscribe / Offline	ACC-TC-F03	Offline screen + Try Again
ACC	F — Suspended / Unsubscribe / Offline	ACC-TC-F04	Suspended account — Log Out tap
ACC	G — Home Dashboard	ACC-TC-G01	Greeting + subscription badge + SP balance
ACC	G — Home Dashboard	ACC-TC-G02	Dashboard banners (independent top banners + Action Items list)
ACC	G — Home Dashboard	ACC-TC-G03	Quick action tiles route correctly
ACC	G — Home Dashboard	ACC-TC-G04	ID verification CTA banner (none / rejected only)
ACC	G — Home Dashboard	ACC-TC-G05	Recommendations + recent trade card
ACC	G — Home Dashboard	ACC-TC-G06	Pull-to-refresh reloads dashboard
ACC	G — Home Dashboard	ACC-TC-G07	"""Show more actions"" toggle"
ACC	G — Home Dashboard	ACC-TC-G08	"Free-user ""Unlock Swap Points"" strip"
ACC	G — Home Dashboard	ACC-TC-G09	"""No session found"" state"
ACC	G — Home Dashboard	ACC-TC-G10	Empty-trade state
ACC	G — Home Dashboard	ACC-TC-G11	"""View Timeline"" nav"
ACC	G — Home Dashboard	ACC-TC-G12	"""See All"" → Discover nav"
ACC	G — Home Dashboard	ACC-TC-G13	Subscription-card Upgrade button
ACC	H — Help & Support Menu	ACC-TC-H01	Help & Support menu (3 cards) routes (entered from Profile)
ACC	H — Help & Support Menu	ACC-TC-H02	FAQ list — search + category filter
ACC	H — Help & Support Menu	ACC-TC-H03	FAQ fallback when offline
ACC	H — Help & Support Menu	ACC-TC-H04	FAQ detail — helpful vote (Yes/No)
ACC	H — Help & Support Menu	ACC-TC-H05	Contact Support form (unified flow — logged-in AND logged-out)
ACC	H — Help & Support Menu	ACC-TC-H06	No raw support-email surfaces (cross-screen sweep)
ACC	H — Help & Support Menu	ACC-TC-H07	Contact Support reachable logged-out (Login + Signup entry)
ACC	I — Education & SP Calculator	ACC-TC-I01	Education Help screen sections (accordion + deep link)
ACC	I — Education & SP Calculator	ACC-TC-I02	SP Calculator (free mode) sell/buy outputs
ACC	I — Education & SP Calculator	ACC-TC-I03	SP Calculator bonus category badge
ACC	I — Education & SP Calculator	ACC-TC-I04	SP Calculator validation (price range)
ACC	I — Education & SP Calculator	ACC-TC-I05	Education analytics events fire
ACC	J — Legal Screens	ACC-TC-J01	Terms of Service view + last updated
ACC	J — Legal Screens	ACC-TC-J02	TOS acceptance flow (requireAcceptance)
ACC	J — Legal Screens	ACC-TC-J03	Privacy Policy view + acceptance
ACC	J — Legal Screens	ACC-TC-J04	Liability Disclaimer view (read-only + retry)
ACC	J — Legal Screens	ACC-TC-J05	Policy versioning — re-acceptance on new version
ACC	J — Legal Screens	ACC-TC-J06	Signup implies TOS + Privacy agreement (no mandatory dialog)
ACC	J — Legal Screens	ACC-TC-J07	Legal screen unavailable state (no published policy)
ACC	J — Legal Screens	ACC-TC-J08	Legal screen load failure — inline error (Retry only on Liability)
ACC	J — Legal Screens	ACC-TC-J09	Very long policy content renders + scrolls smoothly
ACC	J — Legal Screens	ACC-TC-J10	Legal screens render consistently on iOS and Android
ACC	J — Legal Screens	ACC-TC-J11	Legal screen loads < 2s and scrolls without lag
ACC	J — Legal Screens	ACC-TC-J12	Liability Disclaimer unavailable state
ACC	K — Privacy & Security / MFA 🚫	ACC-TC-K01	🚫 NOT IMPLEMENTED — MFA factors list + enrollment (no UI exists)
ACC	K — Privacy & Security / MFA 🚫	ACC-TC-K02	🚫 NOT IMPLEMENTED — enroll/verify authenticator factor (no UI)
ACC	K — Privacy & Security / MFA 🚫	ACC-TC-K03	🚫 NOT IMPLEMENTED — MFA challenge on protected action (no UI)
ACC	K — Privacy & Security / MFA 🚫	ACC-TC-K04	🚫 NOT IMPLEMENTED — recovery / remove factor (no UI)
ACC	L — Error Recovery & Crash Reporting	ACC-TC-L01	Render-time error shows fallback instead of red/white screen
ACC	L — Error Recovery & Crash Reporting	ACC-TC-L02	Try Again recovers after transient error
ACC	L — Error Recovery & Crash Reporting	ACC-TC-L03	Persistent error stays contained to fallback
ACC	L — Error Recovery & Crash Reporting	ACC-TC-L04	Error reporting is safe with and without telemetry
ADM	A — Auth & Dashboard	ADM-TC-A01	Admin login with admin role
ADM	A — Auth & Dashboard	ADM-TC-A02	Non-admin login rejected (RBAC gate)
ADM	A — Auth & Dashboard	ADM-TC-A03	Dashboard layout: intro → health strip → Action Center → KPIs (no duplicate nav)
ADM	A — Auth & Dashboard	ADM-TC-A04	Direct protected route access without session redirects to login
ADM	A — Auth & Dashboard	ADM-TC-A05	Expired session redirects once without a loop
ADM	A — Auth & Dashboard	ADM-TC-A06	Dashboard KPI cards follow design-system styling
ADM	B — User Management	ADM-TC-B01	User list, search, status filters, pagination
ADM	B — User Management	ADM-TC-B02	User detail drawer (identity, subscription, SP, trades)
ADM	B — User Management	ADM-TC-B03	Suspend / ban / delete account
ADM	B — User Management	ADM-TC-B04	Credit/debit SP + freeze wallet from user
ADM	B — User Management	ADM-TC-B05	User analytics cards (totals, DAU/MAU)
ADM	B — User Management	ADM-TC-B06	Reset Password action
ADM	B — User Management	ADM-TC-B07	Unsuspend action
ADM	B — User Management	ADM-TC-B08	Sort By / Sort Order
ADM	C — Listings, Items & Flagged	ADM-TC-C01	Listing management — search & analytics tabs
ADM	C — Listings, Items & Flagged	ADM-TC-C02	Flagged items — filter tabs + statuses
ADM	C — Listings, Items & Flagged	ADM-TC-C03	Approve flagged item
ADM	C — Listings, Items & Flagged	ADM-TC-C04	Reject item with required reason
ADM	C — Listings, Items & Flagged	ADM-TC-C05	Item detail view + appeal info
ADM	C — Listings, Items & Flagged	ADM-TC-C06	Force Delete
ADM	C — Listings, Items & Flagged	ADM-TC-C07	Pause
ADM	C — Listings, Items & Flagged	ADM-TC-C08	Approve
ADM	C — Listings, Items & Flagged	ADM-TC-C09	Request Edits
ADM	C — Listings, Items & Flagged	ADM-TC-C10	Reject
ADM	C — Listings, Items & Flagged	ADM-TC-C11	Select-all / selection counter (no bulk execute — flag)
ADM	C — Listings, Items & Flagged	ADM-TC-C12	Individual filter controls
ADM	D — Categories	ADM-TC-D01	Category list, filters (incl. Bonus), search
ADM	D — Categories	ADM-TC-D02	Create / edit category + SP multiplier
ADM	D — Categories	ADM-TC-D03	Activate / deactivate category
ADM	D — Categories	ADM-TC-D04	Category suggestions queue + count badge
ADM	D — Categories	ADM-TC-D05	Icon / badge upload
ADM	D — Categories	ADM-TC-D06	SP spending cap %
ADM	D — Categories	ADM-TC-D07	SP redemption cap
ADM	D — Categories	ADM-TC-D08	Drag-and-drop reorder
ADM	D — Categories	ADM-TC-D09	Bulk actions (Activate / Deactivate / Delete / Export CSV)
ADM	D — Categories	ADM-TC-D10	Delete category + guards
ADM	D — Categories	ADM-TC-D11	Suggestion Approve / Merge / Reject
ADM	E — Nodes & Waitlist	ADM-TC-E01	Geographic nodes list + stats
ADM	E — Nodes & Waitlist	ADM-TC-E02	Add / edit node
ADM	E — Nodes & Waitlist	ADM-TC-E03	Deactivate node with members warning
ADM	E — Nodes & Waitlist	ADM-TC-E04	Node settings (radius validations)
ADM	E — Nodes & Waitlist	ADM-TC-E05	ZIP waitlist queue + status filter
ADM	E — Nodes & Waitlist	ADM-TC-E06	Node tagging completeness (N6) — every record resolves to one node
ADM	E — Nodes & Waitlist	ADM-TC-E07	Per-node KPIs (N6) — expansion-gate metrics per node
ADM	E — Nodes & Waitlist	ADM-TC-E08	Waitlist API authorization (401 without admin session)
ADM	F — Global Config & Settings	ADM-TC-F01	Global configuration inline edit + permission gate
ADM	F — Global Config & Settings	ADM-TC-F02	Cart settings (min value, max carts, expiry)
ADM	F — Global Config & Settings	ADM-TC-F03	Trade timing config (timing keys + nested validation) — incl. consolidated fees
